表题,基本信息,地区,价格
谷山乐园(一期) 2室2厅1卫,"2室2厅2卫,80O,南北向,精装修",距4号线福元大桥西地铁站步行1178m,1600元/月
兴和佳苑 1室0厅1卫,"1室1卫,121O,南北向,精装修",距1号线桂花坪地铁站步行1438m,980元/月
上海城 2室2厅1卫,"2室2厅2卫,95.60O,南向,精装修",,2200元/月
创元时代 1室1厅1卫,"1室1厅1卫,30O,南北向,精装修",距5号线板塘冲地铁站步行60m,1000元/月
长房UP年代 1室1厅1卫,"1室1厅1卫,47O,南北向,精装修",,1450元/月
嘉宇银杉 3室2厅2卫,"3室2厅3卫,109.50O,南北向,豪华装修",距4号线湘江新城地铁站步行482m,2350元/月
润和紫郡 5室2厅2卫,"5室2厅5卫,144O,南向,精装修",,2800元/月
卧龙居国际村 1室厅1卫,"1室1卫,45O,南北向,豪华装修",距3号线星沙地铁站步行1696m,600元/月
红星嘉和苑 3室 2厅2卫,"3室2厅3卫,110O,南向,精装修",,2500元/月
洞井商贸城 1室1厅1卫,"1室1厅1卫,50O,南向,精装修",,650元/月
湘华小区 1室1厅1卫,"1室1厅1卫,30O,南北向,精装修",距2号线望城坡地铁站步行961m,1000元/月
碧桂园公园壹号(别墅) 5室2厅3卫,"5室2厅5卫,218O,南北向,豪华装修",,3500元/月
保利花园 3室2厅2卫,"3室2厅3卫,100.46O,南北向,豪华装修",,3500元/月
陈家湖社区 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距1号线北辰三角洲地铁站步行594m,1150元/月
鑫天花园 4室2厅2卫,"4室2厅4卫,153O,南向",距4号线赤岗岭地铁站步行1506m,2500元/月
月桂社区 2室1厅1卫,"2室1厅2卫,50O,东北向,精装修",距5号线火炬村地铁站步行1161m,1300元/月
中华岭村 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",距4号线罐子岭地铁站步行1819m,950元/月
钰龙天下 1室1厅1卫,"1室1厅1卫,48O,西向",,1800元/月
麓阳和景雅苑 1室厅1卫,"1室1卫,28O,南向,精装修",距2号线梅溪湖东地铁站步行153m,1000元/月
北辰凤凰天阶苑B1E1区 1室1厅1卫,"1室1厅1卫,30O,南向,精装修",距1号线北辰三角洲地铁站步行257m,1299元/月
卓越浅水湾 1室1厅1卫,"1室1厅1卫,50O,西南向",距2号线梅溪湖西地铁站步行1200m,2300元/月
长沙农村商业银行宿舍(纬一路) 2室1厅1卫,"2室1厅2卫,68O,南向",距2号线锦泰广场地铁站步行945m,1450元/月
建行宿舍(窑岭) 2室1厅1卫,"2室1厅2卫,66O,南向,精装修",距3号线朝阳村地铁站步行968m,1800元/月
华府一航线 3室2厅1卫,"3室2厅3卫,95O,南向,精装修",距3号线四方坪地铁站步行288m,2500元/月
金领家族 2室1厅1卫,"2室1厅2卫,55O,南向,精装修",,1500元/月
金地香樟悦府 4室 2厅2卫,"4室2厅4卫,142O,南北向,精装修",,3500元/月
诚兴园 1室 1厅1卫,"1室1厅1卫,32O,南向,精装修",,1000元/月
鑫泰科技大厦 1室1厅1卫,"1室1厅1卫,25O,南向",距3号线朝阳村地铁站步行1177m,1000元/月
朝阳二村 2室1厅1卫,"2室1厅2卫,70O,南北向,精装修",距3号线朝阳村地铁站步行652m,1500元/月
向韶村 2室2厅1卫,"2室2厅2卫,60O,南向",距2号线袁家岭地铁站步行261m,1500元/月
北辰三角洲奥城E3 1室1厅1卫,"1室1厅1卫,50O,南向,豪华装修",距1号线北辰三角洲地铁站步行687m,2700元/月
宁乡印象东城 1室1厅1卫,"1室1厅1卫,48O,南北向,精装修",,1000元/月
乾城 2室2厅1卫,"2室2厅2卫,76O,东向,精装修",距1号线涂家冲地铁站步行1571m,2600元/月
中南大学建设新村 3室1厅1卫,"3室1厅3卫,75O,南向,精装修",,2600元/月
长沙师范教工宿舍 1室1厅1卫,"1室1厅1卫,53O,西向",距1号线培元桥地铁站步行956m,1900元/月
卓越浅水湾 3室2厅2卫,"3室2厅3卫,108O,南向",距2号线梅溪湖西地铁站步行1200m,3200元/月
亚商大厦 1室1厅1卫,"1室1厅1卫,50O,南向,精装修",,1450元/月
达美溪湖湾 5室2厅2卫,"5室2厅5卫,196O,南北向",距2号线麓云路地铁站步行343m,7000元/月
东盈商业广场 2室1厅1卫,"2室1厅2卫,45O,南向,精装修",距5号线马王堆地铁站步行489m,2800元/月
水木兰庭 1室1厅1卫,"1室1厅1卫,37O,南向,精装修",,1000元/月
上海城 2室1厅1卫,"2室1厅2卫,57O,南向,豪华装修",,2100元/月
恒大雅苑 3室2厅2卫,"3室2厅3卫,126O,西向,精装修",,2000元/月
五江天街(北区) 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距5号线木桥地铁站步行418m,1500元/月
桔香苑 4室2厅2卫,"4室2厅4卫,145O,南向,精装修",距1号线涂家冲地铁站步行1907m,2400元/月
光大发展大厦 4室2厅2卫,"4室2厅4卫,144.22O,东南向,精装修",距1号线南湖路地铁站步行279m,5000元/月
明发国际城 1室厅1卫,"1室1卫,45O,南向,精装修",距4号线月亮岛西地铁站步行868m,920元/月
星城新宇川河苑 3室2厅1卫,"3室2厅3卫,100O,东向,简单装修",,5000元/月
达美美立方 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距2号线文化艺术中心地铁站步行212m,1900元/月
谋房博客 3室2厅1卫,"3室2厅3卫,100O,南向,精装修",距2号线金星路地铁站步行1799m,2700元/月
车塘河小区 2室 1厅1卫,"2室1厅2卫,70O,南向,精装修",,900元/月
麓谷锦和园 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",,1150元/月
福晟钱隆世家 2室2厅1卫,"2室2厅2卫,89O,南向,精装修",,2000元/月
洞井商贸城 5室2厅2卫,"5室2厅5卫,168O,南向,精装修",,1600元/月
白沙晶城 1室1厅1卫,"1室1厅1卫,46O,西向,精装修",距3号线侯家塘地铁站步行635m,2100元/月
红星建材交易市场 2室1厅1卫,"2室1厅2卫,50O,南北向,精装修",,1000元/月
侯家塘小区 4室2厅1卫,"4室2厅4卫,106O,南向,精装修",距3号线侯家塘地铁站步行666m,2500元/月
湘江世纪城达江苑 2室1厅1卫,"2室1厅2卫,60O,南向",距1号线开福区政府地铁站步行1255m,2000元/月
和康园小区 1室厅1卫,"1室1卫,30O,南向",,900元/月
星月小区 1室0厅1卫,"1室1卫,35O,南向,精装修",距4号线罐子岭地铁站步行734m,850元/月
保利香槟国际 3室2厅1卫,"3室2厅3卫,87O,南向,毛坯",距5号线土桥地铁站步行1100m,2000元/月
鑫园小区 1室厅1卫,"1室1卫,45O,南北向,简单装修",距4号线碧沙湖地铁站步行883m,850元/月
仁和花园 1室厅1卫,"1室1卫,40O,南向",,600元/月
南家塘社区 1室1厅1卫,"1室1厅1卫,55O,东向,精装修",距2号线望城坡地铁站步行591m,1100元/月
香芙嘉园 2室2厅1卫,"2室2厅2卫,83O,南向,精装修",,1680元/月
中建木莲工社 2室1厅1卫,"2室1厅2卫,75O,东南向,精装修",,2100元/月
城西公寓 1室0厅1卫,"1室1卫,45O,南向,精装修",距2号线望城坡地铁站步行951m,1488元/月
香山国际名苑 1室1厅1卫,"1室1厅1卫,48O,南向",,900元/月
五峰国际 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距5号线大塘地铁站步行1943m,1500元/月
润和紫郡 1室0厅1卫,"1室1卫,38O,南向,简单装修",,866元/月
四方商贸城 1室1厅1卫,"1室1厅1卫,30O,南向,精装修",距3号线四方坪地铁站步行503m,700元/月
金地自在城 2室1厅1卫,"2室1厅2卫,75O,南向,简单装修",,1000元/月
新月小区 1室1厅1卫,"1室1厅1卫,40O,南向,简单装修",距4号线罐子岭地铁站步行760m,900元/月
鸿宇公馆 1室1厅1卫,"1室1厅1卫,60O,东向,精装修",,900元/月
湘粮国际 1室1厅1卫,"1室1厅1卫,54O,南向,精装修",,1200元/月
长沙市第四医院宿舍 2室1厅1卫,"2室1厅2卫,80O,南北向,精装修",距2号线煌逭虻靥站步行661m,2100元/月
火炬村二片小区 1室厅1卫,"1室1卫,35O,南北向,精装修",距5号线火炬村地铁站步行497m,900元/月
领御大厦 1室1厅1卫,"1室1厅1卫,53O,南向,精装修",距1号线培元桥地铁站步行352m,2000元/月
中建梅溪湖中心 3室2厅1卫,"3室2厅3卫,120O,南向,精装修",,2988元/月
恒大御景半岛(三期) 3室2厅2卫,"3室2厅3卫,145O,南向,精装修",距1号线开福区政府地铁站步行533m,2998元/月
凯通国际城 3室1厅1卫,"3室1厅3卫,80O,南向",距3号线朝阳村地铁站步行383m,2500元/月
君合新城玺樾 2室1厅1卫,"2室1厅2卫,54.31O,南向,精装修",,1600元/月
韵景商居 2室1厅1卫,"2室1厅2卫,72O,南向,简单装修",距1号线开福寺地铁站步行828m,1500元/月
兰亭湾畔(一期) 1室0厅1卫,"1室1卫,55O,南向,精装修",距3号线洋湖新城地铁站步行1848m,910元/月
华悦城1-2栋 2室1厅1卫,"2室1厅2卫,60O,北向,精装修",,1650元/月
红星村井湾子组 1室厅1卫,"1室1卫,32O,东向,简单装修",,650元/月
恩瑞麓山名园 2室1厅1卫,"2室1厅2卫,65O,南向,精装修",距2号线金星路地铁站步行475m,1850元/月
银园公寓(芙蓉) 2室2厅1卫,"2室2厅2卫,100O,东北向,精装修",距2号线袁家岭地铁站步行1317m,2800元/月
香山锦苑 1室1厅1卫,"1室1厅1卫,36.25O,南向,精装修",,900元/月
中房F联邦 3室2厅2卫,"3室2厅3卫,130O,东向",距2号线麓云路地铁站步行1762m,3200元/月
克拉美丽山庄 2室2厅1卫,"2室2厅2卫,87O,南向,精装修",,2050元/月
长城华都 1室1厅1卫,"1室1厅1卫,38O,北向",距1号线铁道学院地铁站步行1385m,1500元/月
阳光晶城 3室2厅3卫,"3室2厅3卫,93O,南北向,精装修",,2100元/月
利海米兰春天 1室厅1卫,"1室1卫,35O,南向",,1000元/月
桃花村瓜瓢山一组自建房 1室 0厅1卫,"1室1卫,15O,南北向,简单装修",,380元/月
名富公寓 2室1厅1卫,"2室1厅2卫,70O,南北向",距1号线开福寺地铁站步行1070m,2500元/月
创元时代 3室2厅2卫,"3室2厅3卫,115O,东向,精装修",距5号线板塘冲地铁站步行60m,3200元/月
望兴嘉年华 2室1厅1卫,"2室1厅2卫,84O,南向,精装修",距2号线梅溪湖东地铁站步行1329m,2200元/月
阳光锦城 3室2厅2卫,"3室2厅3卫,113O,南北向,精装修",距4号线砂子塘地铁站步行1653m,3300元/月
楚天家园 3室2厅2卫,"3室2厅3卫,115O,南向,精装修",距3号线星沙地铁站步行939m,1800元/月
建湘新村 2室1厅1卫,"2室1厅2卫,66.25O,南向,简单装修",,1100元/月
润和紫郡 1室1厅1卫,"1室1厅1卫,43.50O,东向",,1300元/月
星城新宇颐景苑 1室1厅1卫,"1室1厅1卫,50O,南向",距4号线树木岭地铁站步行864m,1600元/月
天麓尚层(二期) 3室1厅1卫,"3室1厅3卫,92O,南向,精装修",,2400元/月
明发国际城 1室1厅1卫,"1室1厅1卫,30O,南向,精装修",距4号线月亮岛西地铁站步行868m,999元/月
桔园七片 2室1厅1卫,"2室1厅2卫,56O,南向,简单装修",距4号线赤岗岭地铁站步行1533m,1600元/月
香樟景苑 1室1厅1卫,"1室1厅1卫,128O,东向,精装修",距5号线雨花区政府地铁站步行1399m,1200元/月
恬居 3室2厅2卫,"3室2厅3卫,133O,南北向,简单装修",距1号线文昌阁地铁站步行694m,3200元/月
博雅例外 1室1厅1卫,"1室1厅1卫,45O,南向",距3号线星沙地铁站步行658m,1800元/月
中海国际社区(二期) 1室1厅1卫,"1室1厅1卫,37O,南向",距3号线阳光地铁站步行1809m,1300元/月
中源凝香华都 3室1厅1卫,"3室1厅3卫,107O,南向,精装修",,2300元/月
东方银座 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距2号线锦泰广场地铁站步行1123m,1380元/月
岳麓恒大华府 3室2厅1卫,"3室2厅3卫,92O,南北向,精装修",,2288元/月
江山帝景雅典 1室1厅1卫,"1室1厅1卫,45O,西南向,精装修",,1680元/月
世茂铂翠湾(二期) 3室2厅1卫,"3室2厅3卫,115O,南向,精装修",距4号线观沙岭地铁站步行750m,2800元/月
五一小区 1室厅1卫,"1室1卫,25O,南向,简单装修",距3号线朝阳村地铁站步行1237m,700元/月
体育新城 2室1厅1卫,"2室1厅2卫,70O,南向,精装修",,2600元/月
才子佳苑一区 3室1厅1卫,"3室1厅3卫,94O,南向",距3号线丝茅冲地铁站步行972m,2300元/月
天健城 3室1厅2卫,"3室1厅3卫,140O,南北向,精装修",距1号线开福寺地铁站步行790m,4000元/月
诚兴园 2室1厅1卫,"2室1厅2卫,65O,南向,精装修",,1700元/月
北辰三角洲奥城E3 1室1厅1卫,"1室1厅1卫,53O,南向,精装修",距1号线北辰三角洲地铁站步行687m,2500元/月
文庙坪小区 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",距1号线南门口地铁站步行440m,1100元/月
恒基凯旋门(一二期) 3室2厅2卫,"3室2厅3卫,128O,南北向,精装修",距3号线松雅湖（南）地铁站步行478m,2600元/月
万科金色家园 1室1厅1卫,"1室1厅1卫,43.50O,东南向,精装修",距1号线铁道学院地铁站步行1692m,1450元/月
坤隆商业街小区 1室厅1卫,"1室1卫,30O,南北向,精装修",,600元/月
山水印象 3室2厅1卫,"3室2厅3卫,106O,南北向,精装修",,1600元/月
兰亭湾畔(一期) 1室0厅1卫,"1室1卫,55O,南向,精装修",距3号线洋湖新城地铁站步行1848m,920元/月
天晟海拔东方 3室1厅1卫,"3室1厅3卫,97.26O,南向,精装修",距5号线大塘地铁站步行1268m,2400元/月
涧塘小区 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距2号线望城坡地铁站步行1146m,850元/月
新华联梦想城 1室0厅1卫,"1室1卫,39O,南向,简单装修",,800元/月
中国铝业长沙有色院窑岭小区 2室1厅1卫,"2室1厅2卫,80O,南向,简单装修",距2号线袁家岭地铁站步行1292m,1900元/月
罗马国际公寓 1室1厅1卫,"1室1厅1卫,47O,南向,精装修",距2号线麓云路地铁站步行1646m,1700元/月
长沙县审计局宿舍 3室2厅1卫,"3室2厅3卫,130O,东向,精装修",距3号线星沙地铁站步行1504m,1900元/月
高岭小区 2室1厅1卫,"2室1厅2卫,66O,南向,精装修",距2号线人民东路地铁站步行891m,1300元/月
生活艺术城 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距1号线桂花坪地铁站步行359m,850元/月
铂宫家园 1室厅1卫,"1室1卫,40O,南向,豪华装修",距1号线培元桥地铁站步行752m,2200元/月
桔园七片 3室1厅1卫,"3室1厅3卫,90O,南向",距4号线赤岗岭地铁站步行1533m,1700元/月
长远华樟名府 1室0厅1卫,"1室1卫,34O,南向,精装修",距5号线芙蓉区政府地铁站步行358m,1300元/月
润和又一城一期 3室2厅1卫,"3室2厅3卫,95O,南北向",距4号线月亮岛西地铁站步行1629m,2000元/月
星澜之悦(望城) 1室厅1卫,"1室1卫,39O,南向",距4号线罐子岭地铁站步行1276m,710元/月
长沙市新河 2室1厅1卫,"2室1厅2卫,65O,南向",,1300元/月
明N壹城 1室厅1卫,"1室1卫,38O,南向,精装修",距4号线粟塘地铁站步行354m,1000元/月
桔园小区 2室1厅1卫,"2室1厅2卫,75O,南向,简单装修",距4号线砂子塘地铁站步行1597m,1300元/月
发动机厂宿舍(岳麓) 2室1厅1卫,"2室1厅2卫,72O,南向,简单装修",距4号线望月湖地铁站步行1624m,1500元/月
松雅小区 2室2厅1卫,"2室2厅2卫,90O,南向",距3号线星沙文体中心地铁站步行1016m,1400元/月
亚商大厦 1室1厅1卫,"1室1厅1卫,45O,南向",,1550元/月
银力家园 1室1厅1卫,"1室1厅1卫,40O,南北向,精装修",距2号线万家丽广场地铁站步行484m,1280元/月
湘江重建地 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距4号线湘江新城地铁站步行427m,750元/月
天翼花园 1室厅1卫,"1室1卫,30O,南向,精装修",距4号线圭塘地铁站步行610m,850元/月
鹏程世家 1室1厅1卫,"1室1厅1卫,57O,北向,精装修",距2号线迎宾路口地铁站步行936m,2500元/月
长坡社区 3室1厅1卫,"3室1厅3卫,90O,南北向,精装修",距1号线南湖路地铁站步行775m,2000元/月
西韵佳苑 1室0厅1卫,"1室1卫,40O,东向",距4号线六沟垅地铁站步行1962m,1300元/月
明发国际城 1室0厅1卫,"1室1卫,50O,南向,精装修",距4号线月亮岛西地铁站步行868m,1050元/月
书香名邸 2室1厅1卫,"2室1厅2卫,80O,南向,精装修",距3号线阿弥岭地铁站步行382m,2300元/月
金科美邻汇 1室1厅1卫,"1室1厅1卫,45O,南向",,1500元/月
万达公馆 4室2厅4卫,"4室2厅4卫,232O,南向",距2号线湘江中路地铁站步行343m,11000元/月
王家冲社区 2室1厅1卫,"2室1厅2卫,60O,西向,精装修",距4号线砂子塘地铁站步行1286m,1200元/月
绿地新都会 1室0厅1卫,"1室1卫,50O,南向,精装修",,900元/月
利海米兰春天 1室1厅1卫,"1室1厅1卫,48O,南北向,精装修",,1000元/月
天鸿天府 2室1厅1卫,"2室1厅2卫,70O,南向,精装修",距1号线铁道学院地铁站步行1156m,2300元/月
月雅苑 2室2厅1卫,"2室2厅2卫,100O,南向,精装修",距5号线大塘地铁站步行1531m,1800元/月
新合四村 1室0厅1卫,"1室1卫,30O,南向",距2号线万家丽广场地铁站步行775m,750元/月
湖南省进出口公司宿舍 3室1厅1卫,"3室1厅3卫,71O,南向,简单装修",距2号线锦泰广场地铁站步行704m,1480元/月
西子湖畔沃府 4室2厅2卫,"4室2厅4卫,134O,南向,精装修",距2号线金星路地铁站步行1245m,3300元/月
金科世界城 3室2厅1卫,"3室2厅3卫,105O,南向,精装修",,2400元/月
长房时代天地 1室1厅1卫,"1室1厅1卫,30O,南向",距2号线望城坡地铁站步行1504m,1000元/月
金帆小区 1室厅1卫,"1室1卫,30O,南向,简单装修",距3号线雅雀湖地铁站步行850m,1000元/月
半山壹号 3室1厅1卫,"3室1厅3卫,100O,南向,精装修",距4号线沙湾公园地铁站步行540m,3200元/月
清溪川9号 2室1厅1卫,"2室1厅2卫,90O,南向,精装修",距5号线大塘地铁站步行820m,2100元/月
融科东南海 1室1厅1卫,"1室1厅1卫,33O,南向,简单装修",距5号线木桥地铁站步行1534m,1350元/月
和庄(二期) 3室1厅1卫,"3室1厅3卫,88O,南向,精装修",距1号线铁道学院地铁站步行1283m,2700元/月
紫金公馆 3室2厅2卫,"3室2厅3卫,147O,南向,精装修",,2200元/月
窑塘新村 3室2厅1卫,"3室2厅3卫,113O,南向,精装修",,2000元/月
恒大雅苑 3室2厅1卫,"3室2厅3卫,90O,南向",,2500元/月
丽都桃源 1室1厅1卫,"1室1厅1卫,49O,北向,精装修",,1200元/月
桂花二村 2室1厅1卫,"2室1厅2卫,80O,南向,精装修",距3号线桂花公园地铁站步行508m,1600元/月
洋湖和园 3室2厅2卫,"3室2厅3卫,120O,南向,精装修",距3号线洋湖湿地地铁站步行826m,2800元/月
咸嘉新村嘉文苑 3室2厅1卫,"3室2厅3卫,110O,南北向,精装修",距2号线金星路地铁站步行1916m,2000元/月
新合四村 2室厅1卫,"2室2卫,50O,南北向,简单装修",距2号线万家丽广场地铁站步行775m,1200元/月
洋海塘小区 1室1厅1卫,"1室1厅1卫,38O,南向,精装修",,999元/月
景湾小区 3室2厅2卫,"3室2厅3卫,120O,南向,精装修",,2000元/月
尚都美寓 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",,1150元/月
桃花岭小区 8室2厅2卫,"8室2厅8卫,500O,南向",,5999元/月
星语林名园 4室2厅2卫,"4室2厅4卫,152O,南北向,简单装修",,2950元/月
滨河嘉园 2室1厅1卫,"2室1厅2卫,84O,南向",距3号线雅雀湖地铁站步行1988m,2699元/月
合能洋湖公馆 2室1厅1卫,"2室1厅2卫,65O,南向,精装修",距3号线洋湖新城地铁站步行502m,1900元/月
蓝光雍锦阁 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距4号线望月湖地铁站步行1476m,1650元/月
洪家村富家冲组自建房 9室4厅9卫,"9室4厅9卫,900O,南北向,精装修",,10000元/月
金科世界城 1室1厅1卫,"1室1厅1卫,65O,南向",,1300元/月
北辰三角洲奥城D2 4室2厅2卫,"4室2厅4卫,180O,南向",距1号线北辰三角洲地铁站步行498m,8500元/月
阳光城尚东湾 3室2厅2卫,"3室2厅3卫,126O,南向,精装修",,1950元/月
合能雨花公馆 3室1厅2卫,"3室1厅3卫,90O,南向,精装修",距2号线长沙大道地铁站步行247m,3000元/月
万科金域华府(三期) 4室2厅2卫,"4室2厅4卫,127O,南向",距5号线木桥地铁站步行1329m,3600元/月
鑫远悦城 1室1厅1卫,"1室1厅1卫,45O,南向,豪华装修",距1号线大托地铁站步行829m,1600元/月
上海城 1室1厅1卫,"1室1厅1卫,53O,南向,精装修",,1600元/月
诚兴园 1室 1厅1卫,"1室1厅1卫,32O,南向,精装修",,1000元/月
兰亭湾畔(一期) 1室0厅1卫,"1室1卫,55O,南向,精装修",距3号线洋湖新城地铁站步行1848m,910元/月
四季星城 2室1厅1卫,"2室1厅2卫,80O,东向",距5号线土桥地铁站步行704m,1600元/月
绿地香树花城 3室2厅1卫,"3室2厅3卫,88O,南向,精装修",,1700元/月
江南华府 3室2厅1卫,"3室2厅3卫,99O,南向,精装修",距1号线铁道学院地铁站步行1699m,2600元/月
新雅联丰苑 1室厅1卫,"1室1卫,30O,东向,精装修",,850元/月
勤诚达新界 1室0厅1卫,"1室1卫,50O,南向,精装修",距4号线罐子岭地铁站步行522m,900元/月
勤诚达境界城 1室0厅1卫,"1室1卫,39O,南向,简单装修",距4号线罐子岭地铁站步行510m,850元/月
阿普阿布 3室2厅2卫,"3室2厅3卫,108O,南向,精装修",距2号线金星路地铁站步行918m,2700元/月
梅溪青秀(二期) 1室厅1卫,"1室1卫,100O,南向,精装修",距2号线梅溪湖西地铁站步行860m,890元/月
生活艺术城 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距1号线桂花坪地铁站步行359m,780元/月
望月湖文明小区 1室1厅1卫,"1室1厅1卫,60O,东向,精装修",距4号线望月湖地铁站步行169m,1400元/月
恒大文化旅游城 2室2厅1卫,"2室2厅2卫,77O,南向,精装修",,1800元/月
胜利社区南片安置区 1室1厅1卫,"1室1厅1卫,30O,南向",距3号线丝茅冲地铁站步行1359m,700元/月
咸嘉花园 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",,1000元/月
兰亭湾畔(一期) 1室0厅1卫,"1室1卫,50O,南向,精装修",距3号线洋湖新城地铁站步行1848m,930元/月
长燃新奥佳园 4室2厅2卫,"4室2厅4卫,135O,南北向,精装修",距4号线罐子岭地铁站步行638m,2200元/月
新合四村 1室厅1卫,"1室1卫,30O,南北向,简单装修",距2号线万家丽广场地铁站步行775m,750元/月
上海城 1室1厅1卫,"1室1厅1卫,57O,南向,豪华装修",,1800元/月
惠天然梅岭国际 3室2厅1卫,"3室2厅3卫,95O,南向,精装修",距2号线梅溪湖西地铁站步行1235m,2600元/月
