表题,基本信息,地区,价格
华盛世纪新城 4室2厅2卫,"4室2厅4卫,145O,南北向,精装修",,2800元/月
金色比华利 3室 2厅2卫,"3室2厅3卫,136O,北向,精装修",距5号线马栏山地铁站步行1626m,2600元/月
五星龙塘小区 1室0厅1卫,"1室1卫,30O,南向,简单装修",距3号线阳光地铁站步行1390m,850元/月
联美品格 2室1厅1卫,"2室1厅2卫,88O,南向,精装修",,2200元/月
山水湾 1室0厅1卫,"1室1卫,38.80O,南向",距5号线土桥地铁站步行762m,1180元/月
湖南省进出口公司宿舍 2室2厅1卫,"2室2厅2卫,65O,东向,精装修",距2号线锦泰广场地铁站步行704m,2000元/月
九峰远见 1室1厅1卫,"1室1厅1卫,55O,南向,精装修",距1号线桂花坪地铁站步行1602m,1600元/月
岳麓恒大华府 3室2厅1卫,"3室2厅3卫,90O,南向,精装修",,2400元/月
新城景苑 1室厅1卫,"1室1卫,48O,南向,精装修",,700元/月
山语城(三期) 3室2厅2卫,"3室2厅3卫,112O,南向",,1500元/月
星澜之悦(望城) 1室0厅1卫,"1室1卫,38O,南向,简单装修",距4号线罐子岭地铁站步行1276m,780元/月
水墨林溪 3室2厅2卫,"3室2厅3卫,135O,南向",距1号线铁道学院地铁站步行1822m,2730元/月
威尔士春天 2室2厅1卫,"2室2厅2卫,90O,南向,精装修",距5号线鸭子铺地铁站步行1178m,2080元/月
东方公寓 1室1厅1卫,"1室1厅1卫,52O,南向,精装修",距3号线朝阳村地铁站步行293m,1500元/月
盛世路10号安置小区 1室0厅1卫,"1室1卫,30O,北向",距1号线马厂地铁站步行1197m,950元/月
卧龙居国际村 1室厅1卫,"1室1卫,45O,南北向,精装修",距3号线星沙地铁站步行1696m,750元/月
中海国际社区(二期) 3室2厅1卫,"3室2厅3卫,105O,南向,精装修",距3号线阳光地铁站步行1809m,2300元/月
新地东方明珠(一二期) 2室2厅1卫,"2室2厅2卫,101O,南北向,精装修",距4号线湘江新城地铁站步行1592m,1850元/月
泉星物流园 1室厅1卫,"1室1卫,30O,南向,精装修",,500元/月
长沙市开福区教师村 1室1厅1卫,"1室1厅1卫,60O,南北向,精装修",距3号线雅雀湖地铁站步行1264m,1200元/月
东盈商业广场 1室1厅1卫,"1室1厅1卫,35O,东西向,精装修",距5号线马王堆地铁站步行489m,1900元/月
万科金域华府(三期) 3室2厅2卫,"3室2厅3卫,125O,南向",距5号线木桥地铁站步行1329m,3200元/月
科技宿舍 4室1厅2卫,"4室1厅4卫,91O,南向,精装修",距2号线袁家岭地铁站步行872m,2500元/月
长沙市开福区教师村 1室1厅1卫,"1室1厅1卫,60O,南北向,精装修",距3号线雅雀湖地铁站步行1264m,1200元/月
景塘家园 3室2厅1卫,"3室2厅3卫,90O,南向,精装修",距5号线木桥地铁站步行1462m,2400元/月
华菱蓝调国际 2室1厅2卫,"2室1厅2卫,120O,南向",距1号线涂家冲地铁站步行654m,2400元/月
恒大华府(浏阳) 3室1厅2卫,"3室1厅3卫,130O,南向,精装修",,1800元/月
金帆小区 1室1厅1卫,"1室1厅1卫,50O,南向,精装修",距3号线雅雀湖地铁站步行850m,1000元/月
乾城 3室2厅2卫,"3室2厅3卫,120O,南向,豪华装修",距1号线涂家冲地铁站步行1571m,3900元/月
万科金色家园 1室1厅1卫,"1室1厅1卫,45O,南北向,精装修",距1号线铁道学院地铁站步行1692m,1650元/月
时代先锋 1室1厅1卫,"1室1厅1卫,40O,西南向,简单装修",距3号线雅雀湖地铁站步行652m,1300元/月
卓越浅水湾 4室2厅2卫,"4室2厅4卫,130O,南向,精装修",距2号线梅溪湖西地铁站步行1200m,3000元/月
宇成朝阳广场 1室厅1卫,"1室1卫,40O,南向",距3号线朝阳村地铁站步行206m,1800元/月
丽发新城 2室1厅1卫,"2室1厅2卫,81O,南向,精装修",,1700元/月
滨河嘉园 2室2厅1卫,"2室2厅2卫,80O,南向,豪华装修",距3号线雅雀湖地铁站步行1988m,2699元/月
新星小区 2室3厅2卫,"2室3厅2卫,140O,南向,精装修",距5号线雨花区政府地铁站步行1294m,1880元/月
天麓小区五期 3室2厅1卫,"3室2厅3卫,95O,南向,精装修",,2400元/月
丽发新城 2室1厅1卫,"2室1厅2卫,81O,南向,精装修",,1700元/月
未来城 1室1厅1卫,"1室1厅1卫,48O,南北向,精装修",距2号线望城坡地铁站步行1637m,1650元/月
华润橡树湾 3室2厅1卫,"3室2厅3卫,104O,南向,精装修",,2300元/月
铂宫家园 1室1厅1卫,"1室1厅1卫,62O,南北向,精装修",距1号线培元桥地铁站步行752m,2200元/月
勤诚达境界城 4室2厅2卫,"4室2厅4卫,126O,南向,精装修",距4号线罐子岭地铁站步行510m,2300元/月
利海米兰春天 1室1厅1卫,"1室1厅1卫,42O,西南向,精装修",,1100元/月
V领寓 1室1厅1卫,"1室1厅1卫,45O,北向,精装修",距5号线雨花区政府地铁站步行1126m,1750元/月
西子一间 1室1厅1卫,"1室1厅1卫,47.58O,南向,精装修",距5号线芙蓉区政府地铁站步行426m,1900元/月
新雅联丰苑 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",,1300元/月
恒基凯旋门(三期) 3室2厅2卫,"3室2厅3卫,139O,南向",距3号线松雅湖（南）地铁站步行769m,3200元/月
润和又一城二期 1室厅1卫,"1室1卫,30O,南向,精装修",距4号线月亮岛西地铁站步行1960m,899元/月
绿地新都会 2室2厅1卫,"2室2厅2卫,80O,南向",,1800元/月
雨花吾悦广场 3室2厅2卫,"3室2厅3卫,110O,南向,精装修",距4号线粟塘地铁站步行701m,3000元/月
中华岭村 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",距4号线罐子岭地铁站步行1819m,950元/月
北辰三角洲奥城C2 3室 2厅1卫,"3室2厅3卫,104O,南向,精装修",距1号线北辰三角洲地铁站步行374m,3300元/月
融科东南海 1室1厅1卫,"1室1厅1卫,38O,南向,精装修",距5号线木桥地铁站步行1534m,1550元/月
乾城 1室0厅1卫,"1室1卫,42O,南向",距1号线涂家冲地铁站步行1571m,1500元/月
学府星城 2室1厅1卫,"2室1厅2卫,80O,南向",,1600元/月
泰龙华府 2室2厅2卫,"2室2厅2卫,45O,东西向,精装修",,1800元/月
湘江世纪城咏江苑 1室0厅1卫,"1室1卫,109O,南向,精装修",距1号线开福区政府地铁站步行795m,899元/月
星澜之悦(望城) 1室厅1卫,"1室1卫,35O,南向,精装修",距4号线罐子岭地铁站步行1276m,850元/月
小龚湾小区 1室0厅1卫,"1室1卫,35O,南向,精装修",,1100元/月
阿普阿布 3室2厅1卫,"3室2厅3卫,100O,南向,豪华装修",距2号线金星路地铁站步行918m,2700元/月
华润橡树湾 3室2厅1卫,"3室2厅3卫,108O,南向,豪华装修",,2300元/月
早谷塘小区 1室厅1卫,"1室1卫,33O,南向,精装修",距2号线金星路地铁站步行866m,750元/月
涉外国际公馆 3室2厅2卫,"3室2厅3卫,120O,南向,精装修",距2号线麓云路地铁站步行1870m,3000元/月
利海米兰春天 3室2厅2卫,"3室2厅3卫,140O,南向,精装修",,3500元/月
星沙四区 1室0厅1卫,"1室1卫,45O,南北向,精装修",距3号线星沙地铁站步行1322m,650元/月
马王堆汽车汽配城 2室1厅1卫,"2室1厅2卫,62O,南向,精装修",距5号线马王堆地铁站步行671m,1450元/月
鑫远悦城 1室0厅1卫,"1室1卫,107O,南向,精装修",距1号线大托地铁站步行829m,559元/月
长丰星城 3室2厅1卫,"3室2厅3卫,90O,南向,精装修",距5号线土桥地铁站步行1828m,1500元/月
蝴蝶谷 1室1厅1卫,"1室1厅1卫,46O,东南向,精装修",,1150元/月
兴邦花城 2室1厅1卫,"2室1厅2卫,81O,南向",,1400元/月
惠天然梅岭国际 1室0厅1卫,"1室1卫,109O,南向,精装修",距2号线梅溪湖西地铁站步行1235m,859元/月
名都凯旋城 3室1厅1卫,"3室1厅3卫,91O,南向",距3号线桂花公园地铁站步行1241m,2200元/月
椰林公寓 2室1厅1卫,"2室1厅2卫,90O,南向,简单装修",距5号线火炬村地铁站步行1596m,1500元/月
电力宾馆宿舍 2室1厅1卫,"2室1厅2卫,70O,南向,精装修",距3号线桂花公园地铁站步行577m,1400元/月
信和苑1区 1室厅1卫,"1室1卫,30O,南向",,850元/月
五江天街(北区) 1室 1厅1卫,"1室1厅1卫,40O,南向,精装修",距5号线木桥地铁站步行418m,1500元/月
高桥老二号小区 2室1厅1卫,"2室1厅2卫,80O,南向,简单装修",距5号线高桥南地铁站步行608m,1200元/月
向家湾小区 2室2厅1卫,"2室2厅2卫,80O,南北向,精装修",,1400元/月
欧洲城 1室0厅1卫,"1室1卫,109O,南向,精装修",距1号线省政府地铁站步行1157m,998元/月
锦湘国际锦绣苑 1室1厅1卫,"1室1厅1卫,57O,南向",距5号线高桥北地铁站步行476m,1600元/月
桥头家苑 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",,1200元/月
国泰九龙湾 5室1厅1卫,"5室1厅5卫,135O,南向,豪华装修",距3号线松雅湖（南）地铁站步行1511m,988元/月
新城新世界 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距5号线高桥南地铁站步行1381m,1500元/月
中建信和城 3室1厅1卫,"3室1厅3卫,98O,南向,精装修",,2450元/月
波隆城市花园 3室2厅2卫,"3室2厅3卫,113O,南向,简单装修",距磁浮快线磁浮榔梨地铁站步行1942m,2300元/月
香颂国际 1室厅1卫,"1室1卫,52O,南向,精装修",,1450元/月
长房东旭国际 1室0厅1卫,"1室1卫,30O,南向,精装修",距4号线粟塘地铁站步行814m,999元/月
明发国际城 1室0厅1卫,"1室1卫,107O,南向,精装修",距4号线月亮岛西地铁站步行868m,798元/月
茶山馨苑 2室1厅1卫,"2室1厅2卫,80O,北向,毛坯",,1800元/月
勤诚达境界城 4室2厅2卫,"4室2厅4卫,118O,南向,精装修",距4号线罐子岭地铁站步行510m,2500元/月
鑫远和城 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",距1号线中信广场地铁站步行390m,1400元/月
浪琴湾小区 1室1厅1卫,"1室1厅1卫,50O,东向,简单装修",距2号线文化艺术中心地铁站步行897m,1100元/月
星沙四区 1室0厅1卫,"1室1卫,40O,南北向,精装修",距3号线星沙地铁站步行1322m,800元/月
华新花苑 3室2厅1卫,"3室2厅3卫,106O,南向,精装修",,1900元/月
三和家园 3室2厅1卫,"3室2厅3卫,113O,南向,简单装修",距2号线人民东路地铁站步行537m,2500元/月
电力职院单位房 3室2厅1卫,"3室2厅3卫,110O,南北向,简单装修",,1600元/月
和顺洋湖壹号 1室1厅1卫,"1室1厅1卫,52O,南向,精装修",距3号线洋湖新城地铁站步行702m,2000元/月
星沙一区 2室1厅1卫,"2室1厅2卫,60O,南向,精装修",,1200元/月
中国铁建国际城(二期) 3室2厅1卫,"3室2厅3卫,98O,南向,精装修",距3号线星沙文体中心地铁站步行1780m,2500元/月
高鑫麓城 3室2厅2卫,"3室2厅3卫,134O,南向,简单装修",距2号线金星路地铁站步行1610m,2800元/月
融科东南海 1室1厅1卫,"1室1厅1卫,31O,南向,精装修",距5号线木桥地铁站步行1534m,1450元/月
朝阳二村 2室1厅1卫,"2室1厅2卫,63.90O,南北向,精装修",距3号线朝阳村地铁站步行652m,1950元/月
达美D6区 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距2号线梅溪湖东地铁站步行594m,1650元/月
加州阳光西组团 3室1厅1卫,"3室1厅3卫,90O,南向",,2400元/月
神农茶都 1室1厅1卫,"1室1厅1卫,45O,北向,精装修",距5号线高桥北地铁站步行828m,900元/月
明发国际城 1室0厅1卫,"1室1卫,107O,南向,精装修",距4号线月亮岛西地铁站步行868m,797元/月
石岭小区A区 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",距4号线观沙岭地铁站步行642m,1000元/月
湘江重建地 1室1厅1卫,"1室1厅1卫,45O,北向,精装修",距4号线湘江新城地铁站步行427m,850元/月
湘江重建地 1室1厅1卫,"1室1厅1卫,35O,北向",距4号线湘江新城地铁站步行427m,850元/月
天剑社区 2室1厅1卫,"2室1厅2卫,70O,南向,简单装修",距1号线南湖路地铁站步行794m,1700元/月
山语城(一期) 3室2厅2卫,"3室2厅3卫,126O,南向,精装修",,2400元/月
尊邸华庭 3室2厅2卫,"3室2厅3卫,107O,南向,精装修",距4号线树木岭地铁站步行802m,2600元/月
中航城国际社区(北区) 3室2厅2卫,"3室2厅3卫,113O,南向,精装修",距5号线毛竹塘地铁站步行1517m,2000元/月
春城佳苑 2室 1厅2卫,"2室1厅2卫,60O,南向",,850元/月
枫华府第 2室2厅1卫,"2室2厅2卫,83O,南向,简单装修",,1500元/月
黄荆小区 2室1厅1卫,"2室1厅2卫,85O,南向",距2号线麓云路地铁站步行720m,1800元/月
中建苹果公寓 1室1厅1卫,"1室1厅1卫,35O,南向,精装修",,1700元/月
楚天世纪城东苑 2室1厅1卫,"2室1厅2卫,90O,南向,精装修",,1700元/月
先锋水韵花都 1室1厅1卫,"1室1厅1卫,50O,南向,精装修",距1号线马厂地铁站步行586m,2000元/月
中建偶寓 1室1厅1卫,"1室1厅1卫,40O,南向,豪华装修",距1号线大托地铁站步行701m,1300元/月
鑫远和城 1室0厅1卫,"1室1卫,107O,南向,精装修",距1号线中信广场地铁站步行390m,900元/月
鸥波港湾 2室2厅2卫,"2室2厅2卫,71O,东南向,精装修",距1号线开福寺地铁站步行1892m,3200元/月
三王丽都 2室1厅1卫,"2室1厅2卫,65O,南向,精装修",距1号线黄兴广场地铁站步行572m,3200元/月
丽水佳园 3室2厅2卫,"3室2厅3卫,124O,南向,精装修",,1000元/月
凯富漫城 2室2厅1卫,"2室2厅2卫,89.75O,南北向,精装修",,1580元/月
长丰星城 2室1厅1卫,"2室1厅2卫,100O,南向,精装修",距5号线土桥地铁站步行1828m,1000元/月
恒基凯旋门(一二期) 3室2厅1卫,"3室2厅3卫,85O,东南向,精装修",距3号线松雅湖（南）地铁站步行478m,1808元/月
桔园小区 3室2厅1卫,"3室2厅3卫,110O,南北向,精装修",距4号线砂子塘地铁站步行1597m,2000元/月
生活艺术城 3室2厅2卫,"3室2厅3卫,100O,南北向,简单装修",距1号线桂花坪地铁站步行359m,1999元/月
都市先锋 1室0厅1卫,"1室1卫,88O,南向",距3号线烈士公园东地铁站步行148m,1150元/月
佳兆业天御 3室2厅2卫,"3室2厅3卫,110O,南向,精装修",距2号线梅溪湖西地铁站步行1485m,3000元/月
嘉湘华庭 3室2厅1卫,"3室2厅3卫,97O,南向,精装修",距4号线观沙岭地铁站步行751m,3000元/月
商贸城社区 3室2厅2卫,"3室2厅3卫,130O,北向,豪华装修",,1600元/月
鑫远悦城 1室0厅1卫,"1室1卫,108O,南向,精装修",距1号线大托地铁站步行829m,550元/月
塞纳公馆(楼) 1室1厅1卫,"1室1厅1卫,39O,西向,精装修",距1号线开福区政府地铁站步行1888m,1650元/月
勤诚达新界 3室 2厅1卫,"3室2厅3卫,94O,南向,简单装修",距4号线罐子岭地铁站步行522m,2000元/月
红星人才楼 2室1厅1卫,"2室1厅2卫,60O,东向",,850元/月
北辰三角洲E5区 1室1厅1卫,"1室1厅1卫,45O,南向,豪华装修",距1号线北辰三角洲地铁站步行800m,2500元/月
新城新世界 2室2厅1卫,"2室2厅2卫,92O,南向,精装修",距5号线高桥南地铁站步行1381m,2500元/月
华润凤凰城(一期) 3室1厅1卫,"3室1厅3卫,89O,南向",距3号线星沙地铁站步行824m,2500元/月
欧洲城 1室0厅1卫,"1室1卫,107O,南向,精装修",距1号线省政府地铁站步行1157m,1000元/月
四方嘉丽 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距3号线雅雀湖地铁站步行58m,1250元/月
红商小区 3室2厅2卫,"3室2厅3卫,100O,南向,精装修",距3号线四方坪地铁站步行748m,1850元/月
中建木莲工社 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",,1450元/月
盛世耀凯 2室2厅1卫,"2室2厅2卫,89O,南向,精装修",,2000元/月
新城新世界 2室2厅1卫,"2室2厅2卫,92O,南向,精装修",距5号线高桥南地铁站步行1381m,2500元/月
润和滨江府(一期) 1室1厅1卫,"1室1厅1卫,40O,北向,精装修",距4号线月亮岛西地铁站步行587m,1500元/月
鑫天鑫城 3室2厅1卫,"3室2厅3卫,135.25O,南向",距4号线赤岗岭地铁站步行501m,2500元/月
山语城(三期) 2室2厅1卫,"2室2厅2卫,80O,南向,精装修",,1800元/月
恒生碧水龙庭 1室厅1卫,"1室1卫,50O,南向,精装修",距5号线毛竹塘地铁站步行1095m,800元/月
枫林二路256号小区 1室1厅1卫,"1室1厅1卫,65O,南向",距2号线金星路地铁站步行706m,1800元/月
一品嘉庭 2室1厅1卫,"2室1厅2卫,80O,南向,精装修",距3号线朝阳村地铁站步行1159m,2500元/月
澳海谷山府 2室1厅1卫,"2室1厅2卫,80O,南向,精装修",,1400元/月
杨家山卫生局宿舍 2室1厅1卫,"2室1厅2卫,67O,东向,简单装修",距2号线锦泰广场地铁站步行495m,1700元/月
诚兴园 2室2厅1卫,"2室2厅2卫,83O,南北向,精装修",,1900元/月
方略城市广场 2室1厅1卫,"2室1厅2卫,45O,南向,豪华装修",距3号线松雅湖（南）地铁站步行202m,1500元/月
怡海星城 1室1厅1卫,"1室1厅1卫,41O,南北向,精装修",,900元/月
同鑫家园 2室2厅1卫,"2室2厅2卫,85O,南向",距5号线马王堆地铁站步行1291m,1650元/月
中信城市广场 1室0厅1卫,"1室1卫,39O,东南向",距1号线中信广场地铁站步行1053m,1400元/月
升远君尚嘉筑 1室厅1卫,"1室1卫,160O,南北向,精装修",距1号线桂花坪地铁站步行1199m,1250元/月
同鑫家园 1室厅1卫,"1室1卫,45O,南向,豪华装修",距5号线马王堆地铁站步行1291m,1800元/月
城西公寓 1室0厅1卫,"1室1卫,38O,北向,精装修",距2号线望城坡地铁站步行951m,1100元/月
湘江世纪城咏江苑 1室0厅1卫,"1室1卫,109O,南向,精装修",距1号线开福区政府地铁站步行795m,897元/月
润和紫郡 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",,1500元/月
北冲尾小区 1室0厅0卫,"1室,30O,南向",,650元/月
东风一村 2室1厅1卫,"2室1厅2卫,63O,南向,精装修",,1400元/月
石坝垅安置区 1室1厅1卫,"1室1厅1卫,55O,南向,简单装修",,700元/月
金桥国际 2室1厅1卫,"2室1厅2卫,58O,东向,简单装修",,1200元/月
中华岭村 2室1厅2卫,"2室1厅2卫,40O,北向,精装修",距4号线罐子岭地铁站步行1819m,920元/月
新塘垅小区(东区) 1室厅1卫,"1室1卫,60O,南向",距5号线高桥南地铁站步行611m,550元/月
兰亭湾畔(二期) 1室1厅1卫,"1室1厅1卫,125O,东向",距3号线阳光地铁站步行1596m,1300元/月
时代星城 2室1厅1卫,"2室1厅2卫,80O,南北向,精装修",,1600元/月
同鑫家园 1室1厅1卫,"1室1厅1卫,45O,南向,精装修",距5号线马王堆地铁站步行1291m,1600元/月
益安公寓 3室2厅2卫,"3室2厅3卫,121O,南向",,2200元/月
湘江重建地 1室1厅1卫,"1室1厅1卫,45O,南向",距4号线湘江新城地铁站步行427m,1200元/月
长沙玫瑰园 3室2厅1卫,"3室2厅3卫,110O,南向,简单装修",,1650元/月
石坝垅安置区 1室1厅1卫,"1室1厅1卫,55O,南向,简单装修",,700元/月
龙湖水晶郦城 3室2厅1卫,"3室2厅3卫,89O,南向,豪华装修",距4号线茶子山地铁站步行843m,3400元/月
铂宫家园 1室厅1卫,"1室1卫,40O,东向,豪华装修",距1号线培元桥地铁站步行752m,2200元/月
蝴蝶谷 1室1厅1卫,"1室1厅1卫,46O,南向",,1200元/月
绿地新都会 3室2厅2卫,"3室2厅3卫,107O,南向,精装修",,2300元/月
巴黎香榭 3室 2厅2卫,"3室2厅3卫,151O,西北向,精装修",距3号线侯家塘地铁站步行1010m,4800元/月
金峰园小区 2室1厅1卫,"2室1厅2卫,45O,南向",,1180元/月
扬帆小区 3室2厅1卫,"3室2厅3卫,130O,南向",距2号线人民东路地铁站步行820m,2000元/月
东屯渡建筑公司大楼 1室1厅1卫,"1室1厅1卫,50O,南向,精装修",距2号线万家丽广场地铁站步行498m,1300元/月
旭辉国际广场 3室2厅2卫,"3室2厅3卫,98O,南向,精装修",距5号线高桥南地铁站步行1997m,2700元/月
启迪协信中心 2室1厅1卫,"2室1厅2卫,67O,南向,豪华装修",距4号线茶子山地铁站步行466m,3200元/月
万科魅力之城 1室 1厅1卫,"1室1厅1卫,40O,北向,精装修",距4号线粟塘地铁站步行1864m,1400元/月
前程丽景 1室1厅1卫,"1室1厅1卫,32O,东向,简单装修",距2号线望城坡地铁站步行991m,1400元/月
车塘河小区 2室1厅1卫,"2室1厅2卫,80O,南向,简单装修",,950元/月
三印小区 2室1厅1卫,"2室1厅2卫,70O,南向,简单装修",距1号线铁道学院地铁站步行1570m,1380元/月
润泽园 2室1厅1卫,"2室1厅2卫,70O,南向,精装修",距2号线金星路地铁站步行1455m,1800元/月
龙湖湘江星座 1室1厅1卫,"1室1厅1卫,48O,南向,精装修",,1500元/月
楚天世纪城东苑 3室2厅1卫,"3室2厅3卫,92O,南北向,精装修",,1700元/月
东友星座 1室1厅1卫,"1室1厅1卫,47O,南向,精装修",距3号线东塘地铁站步行254m,2000元/月
长房云时代 1室0厅1卫,"1室1卫,109O,南向,精装修",,897元/月
新城和樾 1室1厅1卫,"1室1厅1卫,36O,南向,豪华装修",,1300元/月
望兴嘉年华 2室2厅1卫,"2室2厅2卫,84O,南向,精装修",距2号线梅溪湖东地铁站步行1329m,2200元/月
新城新世界 1室1厅1卫,"1室1厅1卫,48O,南向,精装修",距5号线高桥南地铁站步行1381m,1600元/月
花漾年华 2室1厅1卫,"2室1厅2卫,72O,南向,精装修",距1号线省政府地铁站步行1475m,2000元/月
柏家塘小区 2室2厅1卫,"2室2厅2卫,60O,南向,简单装修",距2号线文化艺术中心地铁站步行1482m,2000元/月
国中星城吉联小区 1室1厅1卫,"1室1厅1卫,51O,西南向,精装修",距4号线沙湾公园地铁站步行675m,1800元/月
麓谷小镇 3室2厅1卫,"3室2厅3卫,95O,南向",,2700元/月
长丰星城 1室1厅1卫,"1室1厅1卫,80O,南北向,精装修",距5号线土桥地铁站步行1828m,1000元/月
湘江世纪城咏江苑 1室0厅1卫,"1室1卫,107O,南向,精装修",距1号线开福区政府地铁站步行795m,947元/月
长丰星城 1室1厅1卫,"1室1厅1卫,125O,南向,精装修",距5号线土桥地铁站步行1828m,1000元/月
新大新大厦 1室1厅1卫,"1室1厅1卫,40O,南向,精装修",距2号线五一广场地铁站步行346m,1650元/月
达美D6区 3室2厅2卫,"3室2厅3卫,95O,南向,精装修",距2号线梅溪湖东地铁站步行594m,3200元/月
明发国际城 2室2厅1卫,"2室2厅2卫,95O,南向,精装修",距4号线月亮岛西地铁站步行868m,2000元/月
新城和樾 1室1厅1卫,"1室1厅1卫,36O,南向,精装修",,900元/月
河西望城坡商贸城 1室厅1卫,"1室1卫,30O,南北向,精装修",距2号线望城坡地铁站步行955m,650元/月
